|cluster_label|spans
0|AI|['AI', 'robot', 'AI systems', 'AI technology', 'arXiv.org 2', 'con- versational AI', 'AI models', 'virtual assistants', 'factual validation', 'conversational AI', 'AI solutions', 'EICs']
1|generative AI models|['generative AI', 'Generative models', 'generative models', 'generative AI models', 'Generative AI']
2|communica- tion|['ChatGPT', 'contextualiza- tion', 'communica- tion', 'TPUs']
3|models|['models', 'model', 'LSTM model', 'guide models', 'model-', 'mirroring models']
4|Large language models|['language models', 'large language models', 'large language', 'large language model', 'Large Language Models', 'Language Models', 'Large language models']
5|image recognition|['image', 'facial recognition', 'image regions', 'tity recognition', 'intent recognition', 'natural image', 'image recognition', 'speech recognition', 'Pattern Recognition']
6|technology|['technology', 'internet', 'hardware', 'growth stage', 'note 3', 'International Cooperation', 'manipulation', 'developing versatile', 'CAPABILITIES', 'Technology']
7|GNN|['group', 'Gajardo1,4', 'GIZ', 'GNN', 'LT', 'J. McCarthy']
8|Psychology|['racial discrimination', 'JOURNAL', 'moral dimensions', 'Psychology']
9|BERT|['George R.R', 'BERT 2020s', 'BERT', 'LP', 'T. Hartvigsen']
10|natural language|['code', 'language analysis', 'natural language', 'NLP', 'NLP systems', 'natural language AI', 'Generalization Comprehension', 'semantic analysis', 'sentiment analysis', 'information extraction', 'NLP algorithms', 'Natural Language Processing']
11|decision-|['video-', 'fake-news', 'CASE', 'decision-', 'multi-', 'DISCLAIMER']
12|text generation|['fake text', 'data generation', 'text generation', 'natural language generation', 'image generation', 'Natural language generation']
13|GPU|['GPT-3.5', 'NVIDIA', 'GPU', 'GPUs', 'computer RAM']
14|LLMs|['LLMs', 'commercial LLMs', 'nextg networks', 'ACM']
15|agricultural monitoring|['agricultural monitoring', 'vegetation monitoring', 'monitoring']
16|Neural Networks|['neural network', 'deep learning', 'neural networks', 'neural network models', 'Neural Networks', 'networks', 'graph neural networks', 'Neural Network', 'semantic networks', 'initial layer', 'convolutional neural networks']
17|Machine Learning|['Transfer Learning', 'machine learning', 'global classification', 'AUC ROC', 'reinforcement learning', 'Unsupervised learning', 'unsupervised learning', 'data distribution learning', 'Autonomous Learning', 'learning systems', 'text data mining', 'Machine Learning', 'Learning Systems', 'information retrieval']
18|data protection|['mitigation', 'data protection', 'data security']
19|data analysis|['data [', 'metrics', 'geospatial analysis', 'impact analysis', 'data distributions', 'data analysis', 'data skew', 'data minimization', 'data visualisations', 'complete survey']
20|data collection|['data refers', 'collection date', 'data availability', 'data collection', 'data acquisition', 'data sources', 'data usage', 'data sets', 'data conﬁdentiality', 'GDPR', 'data curation']
21|deepfake news|['September 2017', 'DeepFake technology', 'deepfake news']
22|algorithms|['maps', 'algorithms', 'algorithm', 'combinatorial generalization']
23|computer vision|['Computer Vision', 'computer vision', 'vision transformers', 'meets vision', 'computer vision systems']
24|meta-learning|['meta-learning', 'Self- Learning', 'meta- learning', 'forcement learning']
25|multimodal systems|['multimodal learning', 'multimodal systems', 'multi- modality']
26|AGI systems|['AGI', 'AGI systems', 'AGI models']
27|systems|['aspects', 'crafting systems', 'systems', 'efﬁcient systems', 'formal veriﬁcation systems', 'resource reallocation', 'complex systems', 'submissions', 'Consumer Services', 'Computer Systems', 'machining systems', 'computing systems', 'multiagent systems']
28|Generative adversarial networks|['GANs', 'Generative Adversarial Networks', 'generative adversarial networks', 'generative adversarial network', 'Generative adversarial networks']
29|visual representations|['data representations', 'visual representations', 'visual representation learning']
30|A. Liusie|['L. Ouyang', 'A. Liusie', 'A. Alagha']
